COUNTRY_NAME                   YEAR_END  TREATMENT_FAILURE_PP  SAMPLE_SIZE  LATITUDE     LONGITUDE    
"Angola"                       2015      0.00                  56           -9.661217    20.390460    
"Angola"                       2015      0.00                  66           -12.590516   13.416501    
"Angola"                       2015      0.00                  76           -9.661217    20.390460    
"Angola"                       2015      1.40                  70           -6.269421    14.233780    
"Angola"                       2015      2.60                  78           -12.590516   13.416501    
"Angola"                       2015      13.60                 81           -6.269421    14.233780    
"Angola"                       2017      0.00                  79           -6.269421    14.233780    
"Angola"                       2017      0.00                  80           -12.590516   13.416501    
"Angola"                       2017      0.00                  85           -9.661217    20.390460    
"Angola"                       2017      0.00                  89           -9.661217    20.390460    
"Angola"                       2017      0.00                  91           -12.590516   13.416501    
"Angola"                       2017      3.60                  85           -9.661217    20.390460    
"Angola"                       2017      4.50                  91           -6.269421    14.233780    
"Angola"                       2017      6.30                  79           -6.269421    14.233780    
"Angola"                       2021      0.00                  91           -12.590516   13.416501    
"Angola"                       2021      0.00                  97           -6.269421    14.233780    
"Angola"                       2021      0.00                  100          -9.661217    20.390460    
"Angola"                       2021      2.00                  104          -12.590516   13.416501    
"Angola"                       2021      7.00                  98           -9.661217    20.390460    
"Angola"                       2021      9.00                  97           -6.269421    14.233780    
"Angola"                       2021      12.00                 100          -6.269421    14.233780    
"Angola"                       2021      13.00                 98           -12.590516   13.416501    
"Côte d'Ivoire"                2016      0.00                  52           5.359952     -4.008256    
"Côte d'Ivoire"                2016      0.00                  54           6.715698     -3.480135    
"Côte d'Ivoire"                2016      0.00                  55           7.406428     -7.557223    
"Côte d'Ivoire"                2016      0.00                  56           6.715698     -3.480135    
"Côte d'Ivoire"                2016      0.00                  58           5.359952     -4.008256    
"Côte d'Ivoire"                2016      0.00                  59           9.466934     -5.614256    
"Côte d'Ivoire"                2016      0.00                  59           7.406428     -7.557223    
"Côte d'Ivoire"                2016      1.70                  59           7.406428     -7.557223    
